"GUID","Catalogusnummer","Beschrijving","notities","spatials","categorieen","Datering_vroegst","Datering_laatst","licentie","Auteursrechthouder","Vervaardiger","cxtwd_uitgdruk","Afmeting","Afmeting_2"
"6C5E0E9FF5B55DF5ACDA695ECFB4887C","169100","Gezicht op de spooraansluiting van de papierfabriek De Hoop te Eerbeek.","N.S. fotonummer 18976.  ","","https://commons.wikimedia.org/wiki/Category:209_Dieren-Apeldoorn_(Museumspoorlijn_VSM)|https://commons.wikimedia.org/wiki/Category:Freight|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","08-03-1965","08-03-1965","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"D8912E1D31FF53DD905E0D61D8AFA2FB","170788","Gezicht op het perron van het N.S.-station Amsterdam Zuid te Amsterdam.","NS fotonummer 29264  ","","https://commons.wikimedia.org/wiki/Category:144_Amsterdam_Duivendrecht-Amsterdam_Riekerpolder_(Zuidtak_Amsterdam)|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-01-1982","31-12-1982","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"8EB4D6939E16542391F469D1A38D9ADB","156477","Afbeelding van de treinsdienstleider bij het bedieningstableau in de post van het N.S.-station Santpoort Noord te Santpoort.","  ","http://www.wikidata.org/entity/Q18935833","","01-01-1980","31-12-1985","CC BY 4.0","Het Utrechts Archief","Tappen, E., fotograaf",,"breedte 18 cm","hoogte 13 cm"
"32509FAD4DB55C1CAB3D5C38DE622B6D","154563","Gezicht op de P+R-parkeerplaats van het N.S.-station Nijmegen te Nijmegen.","  ","","","01-01-1982","31-12-1982","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"0164800B8CF35B659EEED4A24C184190","154796","Gezicht vanuit het havengebouw te Amsterdam op de westzijde van het N.S.-station Amsterdam C.S.","  ","","https://commons.wikimedia.org/wiki/Category:586_Amsterdam_CS|https://commons.wikimedia.org/wiki/Category:Amsterdam_Central_station|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","05-09-1960","05-09-1960","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"38A2FC0A4F895EABB4CF2EE3DF9417DF","163179","Gezicht op het S.S.-station Utrecht C.S. te Utrecht.","Afbeelding behoort tot de Collectie De Pater Reproductiefoto  ","","https://commons.wikimedia.org/wiki/Category:531_Utrecht_CS|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Utrecht_Central_station","01-01-1917","31-12-1922","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 16 cm","hoogte 12 cm"
"82155C467E0A5197ABE41A45AC432E74","163808","Afbeelding van het storten van ballast met onderlossers van de N.S. bij Abcoude, tijdens de werkzaamheden ten behoeve van de baanverzwaring tussen Amsterdam en Utrecht.","Afbeelding behoort tot de Collectie De Pater.  ","","https://commons.wikimedia.org/wiki/Category:080_Amsterdam_Bijlmer-Nieuwersluis-Loenen|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","29-03-1949","29-03-1949","CC0 1.0","Nederlandse Spoorwegen","Schaik, W.P.F.M. van (Nederlandse Spoorwegen), fotograaf",,"hoogte 12 cm","breedte 17 cm"
"009F91C2BA1E558C93B860D8C364B8CA","153170","Gezicht op het perron van het N.S.-station Leiden Lammenschans te Leiden. Op de achtergrond staat het stationsgebouw.","  ","","https://commons.wikimedia.org/wiki/Category:103_Alphen_aan_den_Rijn-Leiden|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-01-1967","31-01-1967","CC0 1.0","Nederlandse Spoorwegen","Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"C2F0673C9B3B5D0FB09B854A2B8C9B86","160666","Afbeelding van een opvoering, voorstellende de 11 Provinciën, in het N.V.-huis (oudegracht 245) te Utrecht, ter gelegenheid van het afscheid van president-directeur ir. W. Hupkes van de Nederlandse Spoorwegen.","Afbeelding behoort tot de Collectie De Pater. Ca. 1980 gemaakte afdruk.  ","","","30-12-1946","30-12-1946","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 10 cm","hoogte 8 cm"
"DA6EFDACE77F5C469CDC7C941F14B4F8","154461","Gezicht op de in aanbouw zijnde nieuwe Stationshal van het N.S.-station Utrecht C.S. te Utrecht.","  ","http://www.wikidata.org/entity/Q19546762","","01-04-1973","30-04-1973","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
